term,occurences,type,link
чубайс,171,pers,http://dbpedia.org/resource/Anatoly_Chubais
анатолий чубайс,274,pers,http://dbpedia.org/resource/Anatoly_Chubais
the guardian,544,org,http://dbpedia.org/resource/Social_democracy
s7,166,org,http://dbpedia.org/resource/S7_Airlines
глобус,69,org,http://dbpedia.org/resource/British_Academy_of_Film_and_Television_Arts
министерство культура,130,org,link_not_found
алексей,179,pers,http://dbpedia.org/resource/Dionysus
мария,69,pers,"http://dbpedia.org/resource/Mary,_Queen_of_Scots"
николай ii,115,pers,http://dbpedia.org/resource/Nicholas_II_of_Russia
почта россия,491,org,link_not_found
почтовый банк,43,org,http://dbpedia.org/resource/Japan_Post_Bank
фгуп почта россия,59,org,link_not_found
дмитрий песков,3546,pers,http://dbpedia.org/resource/Dmitry_Peskov
аркадий дворкович,730,pers,http://dbpedia.org/resource/Arkady_Dvorkovich
новосибирский государственный университет,35,org,http://dbpedia.org/resource/Novosibirsk_State_University
спбгу,114,org,http://dbpedia.org/resource/Saint_Petersburg_State_University
мфти,73,org,http://dbpedia.org/resource/Moscow_Institute_of_Physics_and_Technology
nature,808,org,http://dbpedia.org/resource/International_Union_for_Conservation_of_Nature
рбк,1433,org,http://dbpedia.org/resource/RBC_Roosendaal
иа regnum,62,org,link_not_found
униан,211,org,http://dbpedia.org/resource/U.D._Leiria
нафтогаз,1015,org,http://dbpedia.org/resource/Naftogaz
мгимо,115,org,http://dbpedia.org/resource/Moscow_State_Institute_of_International_Relations
московский метрополитен,367,org,http://dbpedia.org/resource/Moscow_Metro
пушкин,56,pers,http://dbpedia.org/resource/Alexander_Pushkin
россельхознадзор,554,org,http://dbpedia.org/resource/Federal_Service_for_Veterinary_and_Phytosanitary_Supervision_(Russia)
рбк daily,767,org,link_not_found
минсельхоз,776,org,http://dbpedia.org/resource/Ministry_of_Agriculture_(Russia)
сергей неверов,282,pers,http://dbpedia.org/resource/Sergey_Neverov
единоросы,41,pers,link_not_found
андрей исаев,138,pers,http://dbpedia.org/resource/Andrey_Isayev
ирина яровой,135,pers,link_not_found
акулинин,38,pers,http://dbpedia.org/resource/Leonid_Akulinin
россия,534,org,http://dbpedia.org/resource/United_Russia
airbus,483,org,http://dbpedia.org/resource/Airbus
объединить авиастроительный корпорация (оак),104,org,link_not_found
ростехнологии,270,org,http://dbpedia.org/resource/Rostec
саратовский авиалиния,100,org,link_not_found
оренбургский авиалиния,121,org,link_not_found
международный группа исследователь,43,org,link_not_found
the financial times,924,org,http://dbpedia.org/resource/FTSE_Group
гонконгский биржа,62,org,link_not_found
русал,387,org,http://dbpedia.org/resource/Alcoa
басманный суд,313,org,link_not_found
басманном суд,35,org,link_not_found
ходорковский,387,pers,http://dbpedia.org/resource/Mikhail_Khodorkovsky
платон лебедев,308,pers,http://dbpedia.org/resource/Platon_Lebedev
лебедев,652,pers,http://dbpedia.org/resource/Mikhail_Khodorkovsky
ушаков,116,pers,http://dbpedia.org/resource/Fyodor_Ushakov
нацбанк,498,org,http://dbpedia.org/resource/Nadra_Bank
коммерсант-украина,44,org,link_not_found
махмудов,41,pers,http://dbpedia.org/resource/Emin_Mahmudov
activision blizzard,47,org,http://dbpedia.org/resource/Activision_Blizzard
рубин,70,org,http://dbpedia.org/resource/FC_Rubin_Kazan
nvidia,94,org,http://dbpedia.org/resource/Nvidia
гражданский самолёт сухой,171,org,link_not_found
объединить авиастроительный корпорация,131,org,link_not_found
европейский южный обсерватория,60,org,link_not_found
анатолий сердюков,657,pers,http://dbpedia.org/resource/Anatoly_Serdyukov
александр,157,pers,http://dbpedia.org/resource/Alexander_I_of_Russia
михаил,59,pers,http://dbpedia.org/resource/Michael_(archangel)
госдеп,217,org,http://dbpedia.org/resource/United_States_Department_of_State
госдепартамент,300,org,link_not_found
лавров,376,pers,http://dbpedia.org/resource/Sergey_Lavrov
обама,458,pers,http://dbpedia.org/resource/Barack_Obama
михаил суходольский,45,pers,link_not_found
ржд,1355,org,http://dbpedia.org/resource/Russian_Railways
siemens,208,org,http://dbpedia.org/resource/Siemens-Schuckert
оао российский железный дорога,38,org,link_not_found
microsoft,1761,org,http://dbpedia.org/resource/Microsoft
wii,91,org,http://dbpedia.org/resource/WiiWare
курчатовский институт,37,org,http://dbpedia.org/resource/All-Russian_Institute_Of_Aviation_Materials
сеть,119,org,http://dbpedia.org/resource/Eurosport
агентство по страхование вклад,268,org,link_not_found
ростелеком,546,org,http://dbpedia.org/resource/Rostelecom
газпромбанк,624,org,http://dbpedia.org/resource/Echo_of_Moscow
фонтанка.ру,524,org,link_not_found
american express,37,org,http://dbpedia.org/resource/American_Express
