term,occurences,type,link
gamespot,225,org,http://dbpedia.org/resource/Team_SoloMid
science,623,org,http://dbpedia.org/resource/Citizen_science
cassini,81,org,http://dbpedia.org/resource/Forward_Madison_FC
the daily telegraph,192,org,http://dbpedia.org/resource/Spice_Girls
совет,296,org,http://dbpedia.org/resource/Council_of_the_European_Union
европарламент,256,org,http://dbpedia.org/resource/Ulster_Unionist_Party
еврокомиссия,1078,org,http://dbpedia.org/resource/Southern_Gas_Corridor
чоп,213,org,http://dbpedia.org/resource/FC_Podolye_Podolsky_district
playstation,180,org,http://dbpedia.org/resource/PlayStation_Network
the astrophysical journal,136,org,link_not_found
астрономы,73,pers,http://dbpedia.org/resource/Astronomer
следственный комитет,7574,org,http://dbpedia.org/resource/Belarusian_Association_of_Journalists
тайга.инфо,105,org,link_not_found
тэц,96,org,http://dbpedia.org/resource/Moscow_Power_Engineering_Institute
мкс,1092,org,http://dbpedia.org/resource/International_Criminal_Court
wired,141,org,http://dbpedia.org/resource/Porcupine_Tree
russia today,104,org,http://dbpedia.org/resource/RT_UK
tele2,179,org,http://dbpedia.org/resource/Hammarby_Fotboll
москвич,47,org,http://dbpedia.org/resource/Moskvitch
дед мороз,61,pers,http://dbpedia.org/resource/Gérard_Jugnot
abc news,41,org,http://dbpedia.org/resource/ABC_News_(Australia)
arcelormittal,36,org,http://dbpedia.org/resource/ArcelorMittal
бак,92,org,http://dbpedia.org/resource/R.E.M.
twitter,1982,org,http://dbpedia.org/resource/Twitter
cern,39,org,http://dbpedia.org/resource/CERN
citigroup,285,org,http://dbpedia.org/resource/Citigroup
центробанк,3308,org,link_not_found
банк россия,3747,org,http://dbpedia.org/resource/Rossiya_Bank
цб,5028,org,http://dbpedia.org/resource/Caribbean_Community
defpro,120,org,link_not_found
министерство оборона,1966,org,link_not_found
nestle,69,org,http://dbpedia.org/resource/Nestlé
владимир мономах,41,org,link_not_found
александр невский,95,pers,http://dbpedia.org/resource/Alexander_Nevsky
дмитрий донской,48,pers,http://dbpedia.org/resource/Dmitry_Donskoy
юрий долгорукий,89,pers,http://dbpedia.org/resource/Yuri_Dolgorukiy
овд,683,org,http://dbpedia.org/resource/Warsaw_Pact
эхо москва,711,org,link_not_found
общественный палата,656,org,link_not_found
ign,190,org,http://dbpedia.org/resource/GameSpy
фсб,2672,org,http://dbpedia.org/resource/Federal_Security_Service
уфсб,183,org,link_not_found
майдан,47,org,http://dbpedia.org/resource/Cursed_soldiers
центральный районный суд,68,org,http://dbpedia.org/resource/Children-404
chelyabinsk.ru,42,org,link_not_found
лента.ру,1218,org,link_not_found
космический центр,37,org,http://dbpedia.org/resource/Kennedy_Space_Center
the astrophysical journal letters,44,org,link_not_found
lenovo,179,org,http://dbpedia.org/resource/Lenovo
таможенный союз,437,org,http://dbpedia.org/resource/Eurasian_Customs_Union
фтс,265,org,http://dbpedia.org/resource/Federal_Customs_Service_of_Russia
федеральный таможенный служба (фтс),174,org,link_not_found
ран,838,org,http://dbpedia.org/resource/Run-DMC
лукойл,1043,org,http://dbpedia.org/resource/Lukoil
роснефть,2679,org,http://dbpedia.org/resource/Rosneft
владимир семашко,78,pers,link_not_found
александр лукашенко,532,pers,http://dbpedia.org/resource/Alexander_Lukashenko
edf,44,org,http://dbpedia.org/resource/Électricité_de_France
eni,238,org,http://dbpedia.org/resource/Eni
александр медведев,167,pers,http://dbpedia.org/resource/Alexander_Medvedev
ферми,35,org,http://dbpedia.org/resource/United_States_Atomic_Energy_Commission
new scientist,522,org,http://dbpedia.org/resource/Zetnet
elbit systems,36,org,http://dbpedia.org/resource/Elbit_Systems
пятый канал,97,org,http://dbpedia.org/resource/5TV_(Russian_TV_channel)
eurogamer,822,org,http://dbpedia.org/resource/Gamer_Network
роскосмос,1338,org,http://dbpedia.org/resource/Lavochkin
ibm,156,org,http://dbpedia.org/resource/IBM
toshiba,81,org,http://dbpedia.org/resource/Toshiba
sony,874,org,http://dbpedia.org/resource/Sony_Music
sharp,63,org,http://dbpedia.org/resource/Democratic_Party_(United_States)
teliasonera,45,org,http://dbpedia.org/resource/Telia_Company
huawei,206,org,http://dbpedia.org/resource/Huawei
samsung,1146,org,http://dbpedia.org/resource/Samsung
ericsson,53,org,http://dbpedia.org/resource/Ericsson
exxonmobil,295,org,http://dbpedia.org/resource/ExxonMobil
сизо,1460,org,http://dbpedia.org/resource/Group_24
hermitage capital,210,org,http://dbpedia.org/resource/Hermitage_Capital_Management
федеральный служба исполнение наказание (фсин),122,org,link_not_found
фсин,670,org,http://dbpedia.org/resource/Gulag
hermitage,54,org,http://dbpedia.org/resource/Imperial_Academy_of_Arts
матросский тишина,223,org,link_not_found
медведев,3380,pers,http://dbpedia.org/resource/Dmitry_Medvedev
магнитский,320,pers,http://dbpedia.org/resource/Sergei_Magnitsky
сергей магнитский,343,pers,http://dbpedia.org/resource/Sergei_Magnitsky
рспп,141,org,http://dbpedia.org/resource/Russian_Union_of_Industrialists_and_Entrepreneurs
роструд,52,org,http://dbpedia.org/resource/Federal_Service_for_Labour_and_Employment_(Russia)
федеральный налоговый служба (фнс),170,org,link_not_found
фнс,363,org,http://dbpedia.org/resource/National_Salvation_Front_(Romania)
psp,61,org,http://dbpedia.org/resource/Socialist_Party_of_Chile
мид,2647,org,http://dbpedia.org/resource/MI6
сегодня,38,org,http://dbpedia.org/resource/Mandatory_Palestine
динамо,100,org,http://dbpedia.org/resource/FC_Dynamo_Kyiv
нобелевский комитет,35,org,http://dbpedia.org/resource/Nobel_Committee
кадыров,865,pers,http://dbpedia.org/resource/Ramzan_Kadyrov
шамиль басаев,43,pers,http://dbpedia.org/resource/Shamil_Basayev
барак обама,936,pers,http://dbpedia.org/resource/Barack_Obama
басманного суд,71,org,link_not_found
калифорнийский университет,280,org,"http://dbpedia.org/resource/University_of_California,_Los_Angeles"
анатолий зак,45,pers,link_not_found
x5 retail group,155,org,http://dbpedia.org/resource/X5_Group
карусель,141,org,http://dbpedia.org/resource/Gerry_and_the_Pacemakers
перекрёсток,165,org,http://dbpedia.org/resource/Carrefour
пятёрочка,194,org,http://dbpedia.org/resource/Alfa_Group
пенсионный фонд,708,org,http://dbpedia.org/resource/Government_Pension_Fund_of_Norway
минздравсоцразвития,142,org,http://dbpedia.org/resource/Gastroenterology
справедливый россия,2416,org,link_not_found
верховный суд,1470,org,http://dbpedia.org/resource/Supreme_Court_of_India
магомедов,106,pers,http://dbpedia.org/resource/Jamaladdin_Magomedov
московский комсомолец,640,org,http://dbpedia.org/resource/Tsvety
родина,205,org,http://dbpedia.org/resource/Krupp
владимир маркин,515,pers,http://dbpedia.org/resource/Vladimir_Markin
ленты.ру,6701,org,link_not_found
дпс,758,org,http://dbpedia.org/resource/Movement_for_Rights_and_Freedoms
